Source,Target,PValue
Lyar,Psmc3ip,1.1100160740632961e-05
Nsun2,Pa2g4,1.1527956341438386e-05
Snrpe,Ssrp1,1.1545363389633499e-05
Mcm3,Tmpo,1.1584870870251173e-05
Nfatc1,Lnpep,1.1821547550888373e-05
Mcm5,Uhrf1,1.2120719500944686e-05
Plekha6,Zfp263,1.2203950221854738e-05
Nolc1,Aatf,1.2497740372635784e-05
Mcm4,Psmc3ip,1.2777436891003159e-05
Cct6a,Ddx1,1.2996118171835382e-05
Gata4,Soat2,1.3142243667258385e-05
Mcm4,Set,1.3324760189210612e-05
Hnrnpa1,Sfpq,1.3604754500811227e-05
Drap1,Ppp1r12c,1.4242097884241157e-05
Gins1,Rbbp8,1.4441012774855112e-05
Pold3,Rbbp8,1.4441012774855112e-05
Cct2,Nr3c2,1.532290762921485e-05
Jund,Polr2a,1.5371373001416015e-05
Wdr46,Gtf2f1,1.6005308281291936e-05
Ruvbl1,Trim27,1.6008157743487092e-05
Set,Tubb5,1.6130990282773446e-05
Mad2l1,Rfc1,1.6193332803203187e-05
Snrpe,Uhrf1,1.7069589500782768e-05
Tmem120a,Prdx5,1.7459984103355877e-05
Mtf2,Tmpo,1.777344530496501e-05
Nolc1,Toe1,1.7972965574684522e-05
Tubb5,Pa2g4,1.836291789160172e-05
Rfc4,Top2a,1.8469938221857636e-05
Gata4,Gpt,1.8909809757590836e-05
Slc38a3,Prox1,1.893509809013919e-05
Rpl15,Nfyc,1.928943711068361e-05
Tnks1bp1,Vps72,1.9637918118154503e-05
Rfc4,Gtf2f1,1.9644373009966123e-05
Mrpl50,Lrpprc,1.9979228206604617e-05
Myo1g,Ncoa3,2.0648423677580056e-05
Pcna,Tubb5,2.168724582178816e-05
Ncaph,Foxm1,2.1826439348765245e-05
Nono,Znhit1,2.2030746705867868e-05
Ppara,Slc7a6,2.2032426721529577e-05
Ppp1r8,Polr1d,2.2451933216097002e-05
Nup93,Foxm1,2.2643453993620397e-05
Rnps1,Smarcc1,2.2662259744718146e-05
Clic5,Smad7,2.2713974289803312e-05
Akna,Swap70,2.2719983971342204e-05
Nup155,Smarca5,2.3077166839441144e-05
Cic,Anks1,2.3334144019388057e-05
Mcm6,Hdac1,2.470698315875733e-05
Prim1,Pa2g4,2.480737773298865e-05
Rfc5,Pa2g4,2.480737773298865e-05
Mybl2,Rpa2,2.510604922208898e-05
Gtf2e2,Camta2,2.587692837702707e-05
Tagln2,Prox1,2.770173976691263e-05
Msh6,Hdac1,2.880210230346379e-05
Ndc80,Foxm1,2.9072218475627386e-05
Klf4,Smad4,2.9876730573220972e-05
Mcm7,Uhrf1,3.0193627573344244e-05
Tbx3,Wipf3,3.133009033528389e-05
Irx5,Myh6,3.137424673011435e-05
Ppp1r8,Rbm22,3.2584055265998665e-05
Mcm5,Zbtb20,3.317566079978971e-05
Trim27,Snip1,3.434801412678481e-05
Tubb5,E2f1,3.4930275132378786e-05
Mcm5,Tmpo,3.496774548841893e-05
Kif4,Foxm1,3.516587337365339e-05
Psip1,Hdac2,3.619014605257354e-05
C1d,Eif2a,3.660617562780391e-05
Impdh2,Ssrp1,3.7382838473211213e-05
Mcm6,Rbbp8,3.767433787398196e-05
Psmd14,E2f3,3.911214502177498e-05
Hmgb2,Hnrnpf,3.950398800681929e-05
Taf13,Hadha,4.069231156829763e-05
Nup205,Hdac1,4.0912613180583915e-05
Arhgap11a,Dnmt1,4.168977194351406e-05
Bzw2,Rbbp8,4.1694675468431335e-05
Trim27,Mpc1,4.1921102471185644e-05
Ruvbl2,Tubb5,4.219726640858986e-05
Cdca7,Ezh2,4.2224659898476345e-05
Mcm7,Tmpo,4.294345782392699e-05
Prim1,Hmgb2,4.391442943813428e-05
Rfc5,Hmgb2,4.391442943813428e-05
Cbfb,Rps11,4.443671217183896e-05
Alyref,Smarcc1,4.460864845406407e-05
Aldh7a1,Smad4,4.477612411936072e-05
Nfib,Nfix,4.4845035397706896e-05
Incenp,E2f1,4.635891146956151e-05
Mcm3,Smarcc1,4.637758955466635e-05
Tmpo,Hnrnpf,4.684607672774925e-05
Ruvbl1,Zc3h8,4.945055525265608e-05
Fos,Pkm,4.965491331698218e-05
Rps3,Edf1,4.984580394075173e-05
Nhp2,Nolc1,5.0081517295814505e-05
Mcm4,E2f1,5.1232857256233034e-05
Snrpf,Top2a,5.1256663768831076e-05
2510009E07Rik,Maf,5.148783102417306e-05
Mak16,Trim27,5.1559975346119535e-05
Impdh2,Uhrf1,5.16742903185053e-05
Trip13,Pcna,5.188689027394801e-05
Mfn1,Ppargc1a,5.286221029767988e-05
Rfc4,Rbbp8,5.29262038811811e-05
