0,1,2
485,2810013P06Rik,ENSMUSG00000099881
486,2810025M15Rik,ENSMUSG00000049881
487,2810403A07Rik,ENSMUSG00000028060
488,2810474O19Rik,ENSMUSG00000032712
489,2900097C17Rik,ENSMUSG00000102869
490,3110082I17Rik,ENSMUSG00000053553
491,4833420G17Rik,ENSMUSG00000062822
492,4921524J17Rik,ENSMUSG00000036934
493,4930503L19Rik,ENSMUSG00000044906
494,4930579G24Rik,ENSMUSG00000027811
495,6430548M08Rik,ENSMUSG00000031824
496,8430408G22Rik,ENSMUSG00000048489
497,9430091E24Rik,ENSMUSG00000084808
498,A230050P20Rik,ENSMUSG00000038884
499,A630001G21Rik,ENSMUSG00000052760
500,AA467197,ENSMUSG00000033213
501,AB124611,ENSMUSG00000057191
502,AI314180,ENSMUSG00000050812
503,AI413582,ENSMUSG00000062753
504,AI467606,ENSMUSG00000045165
505,AI662270,ENSMUSG00000087107
506,AI837181,ENSMUSG00000047423
507,AU020206,ENSMUSG00000097415
508,AW112010,ENSMUSG00000075010
509,Aaas,ENSMUSG00000036678
510,Aagab,ENSMUSG00000037257
511,Aamp,ENSMUSG00000006299
512,Aars,ENSMUSG00000031960
513,Aatf,ENSMUSG00000018697
514,Abca2,ENSMUSG00000026944
515,Abca8a,ENSMUSG00000041828
516,Abca8b,ENSMUSG00000020620
517,Abcb1a,ENSMUSG00000040584
518,Abcb7,ENSMUSG00000031333
519,Abcb8,ENSMUSG00000028973
520,Abcc1,ENSMUSG00000023088
521,Abcc3,ENSMUSG00000020865
522,Abcc8,ENSMUSG00000040136
523,Abcc9,ENSMUSG00000030249
524,Abcd1,ENSMUSG00000031378
525,Abcd3,ENSMUSG00000028127
526,Abce1,ENSMUSG00000058355
527,Abcf1,ENSMUSG00000038762
528,Abcf2,ENSMUSG00000028953
529,Abcf3,ENSMUSG00000003234
530,Abcg1,ENSMUSG00000024030
531,Abcg3,ENSMUSG00000029299
532,Abhd11,ENSMUSG00000040532
533,Abhd4,ENSMUSG00000040997
534,Abhd8,ENSMUSG00000007950
535,Abi1,ENSMUSG00000058835
536,Ablim3,ENSMUSG00000032735
537,Abra,ENSMUSG00000042895
538,Acaa2,ENSMUSG00000036880
539,Acacb,ENSMUSG00000042010
540,Acad11,ENSMUSG00000090150
541,Acadm,ENSMUSG00000062908
542,Acads,ENSMUSG00000029545
543,Acadsb,ENSMUSG00000030861
544,Acadvl,ENSMUSG00000018574
545,Acap2,ENSMUSG00000049076
546,Acap3,ENSMUSG00000029033
547,Acat1,ENSMUSG00000032047
548,Acbd5,ENSMUSG00000026781
549,Acd,ENSMUSG00000038000
550,Ace,ENSMUSG00000020681
551,Acer2,ENSMUSG00000038007
552,Acin1,ENSMUSG00000022185
553,Aco1,ENSMUSG00000028405
554,Aco2,ENSMUSG00000022477
555,Acot13,ENSMUSG00000006717
556,Acot7,ENSMUSG00000028937
557,Acot9,ENSMUSG00000025287
558,Acox1,ENSMUSG00000020777
559,Acp1,ENSMUSG00000044573
560,Acp2,ENSMUSG00000002103
561,Acp5,ENSMUSG00000001348
562,Acsf3,ENSMUSG00000015016
563,Acsl1,ENSMUSG00000018796
564,Acsl4,ENSMUSG00000031278
565,Acsl5,ENSMUSG00000024981
566,Acss1,ENSMUSG00000027452
567,Acta1,ENSMUSG00000031972
568,Acta2,ENSMUSG00000035783
569,Actc1,ENSMUSG00000068614
570,Actg1,ENSMUSG00000062825
571,Actl6a,ENSMUSG00000027671
572,Actn1,ENSMUSG00000015143
573,Actn2,ENSMUSG00000052374
574,Actr2,ENSMUSG00000020152
575,Actr3,ENSMUSG00000026341
576,Actr3b,ENSMUSG00000056367
577,Acvrl1,ENSMUSG00000000530
578,Acy3,ENSMUSG00000024866
579,Acyp1,ENSMUSG00000008822
580,Acyp2,ENSMUSG00000060923
581,Adam12,ENSMUSG00000054555
582,Adam15,ENSMUSG00000028041
583,Adam17,ENSMUSG00000052593
584,Adam19,ENSMUSG00000011256
585,Adam9,ENSMUSG00000031555
586,Adamts1,ENSMUSG00000022893
587,Adamts10,ENSMUSG00000024299
588,Adamts12,ENSMUSG00000047497
589,Adamts2,ENSMUSG00000036545
590,Adamts5,ENSMUSG00000022894
591,Adamts9,ENSMUSG00000030022
592,Adamtsl2,ENSMUSG00000036040
593,Adamtsl4,ENSMUSG00000015850
594,Adap1,ENSMUSG00000056413
595,Adarb1,ENSMUSG00000020262
596,Adck5,ENSMUSG00000022550
597,Adcy3,ENSMUSG00000020654
598,Adcy4,ENSMUSG00000022220
599,Adcy5,ENSMUSG00000022840
600,Adcy7,ENSMUSG00000031659
601,Adcy9,ENSMUSG00000005580
602,Add1,ENSMUSG00000029106
603,Add3,ENSMUSG00000025026
604,Adh1,ENSMUSG00000074207
605,Adh5,ENSMUSG00000028138
606,Adhfe1,ENSMUSG00000025911
607,Adi1,ENSMUSG00000020629
608,Adipor1,ENSMUSG00000026457
609,Ado,ENSMUSG00000057134
