GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
Zfp46,0.56312805,0.21563268,0.5541235,-0.039938368,0.5528976,-0.017710503,0.5574493,-0.034577973,0.55590886,-0.021844741,0.5525002,-0.029712375,0.5446314,0.05959618
Zfp467,0.12260836,0.11913884,0.12260836,0.11913882,0.12260836,0.11913882,0.12260836,0.11913882,0.12260836,0.11913884,0.12260836,0.11913882,0.12260836,0.11913882
Zfp473,1.4616358,0.63485867,1.4711204,-0.063125014,1.4739041,-0.041156933,1.4865831,-0.034436934,1.489031,-0.02259198,1.4733738,-0.057153545,1.4777845,-0.06268842
Zfp507,0.23331219,0.15344204,0.23331213,0.15344204,0.23331219,0.15344204,0.23331219,0.15344203,0.23331225,0.15344201,0.23331219,0.15344204,0.23331219,0.15344201
Zfp511,0.36049348,-0.45239192,0.37422025,-0.015069339,0.37422025,-0.015069331,0.37422037,-0.015069357,0.3742203,-0.015069341,0.3742203,-0.015069344,0.3742203,-0.015069371
Zfp512,0.53730893,-0.10836121,0.47466856,-0.409443,0.47504896,-0.41817096,0.48161805,-0.40712425,0.48123765,-0.39839646,0.4746685,-0.409443,0.49165303,-0.20749263
Zfp513,0.0792681,0.07178512,0.0792681,0.07178509,0.0792681,0.07178506,0.0792681,0.07178509,0.0792681,0.07178509,0.0792681,0.07178511,0.0792681,0.07178512
Zfp516,0.47125578,-0.40822938,0.50340503,-0.08721572,0.4939443,-0.13860042,0.49394435,-0.13860042,0.49394417,-0.13860048,0.49391675,-0.13943705,0.49342567,-0.021225138
Zfp518a,0.53031653,0.24977483,0.5136034,-0.045794114,0.5136033,-0.045794144,0.51785475,-0.04346429,0.51785475,-0.04346426,0.51360345,-0.04579416,0.521652,-0.049090788
Zfp518b,0.66810584,0.033543438,0.6354287,-0.3411246,0.64943177,-0.13474876,0.6378165,-0.34354326,0.6437967,-0.30404538,0.64094675,-0.32841876,0.6277798,-0.32608435
Zfp521,0.60695076,-0.4648507,0.70049286,-0.47951856,0.69062144,-0.36256495,0.7488816,-0.047320843,0.7556673,0.06178683,0.75470114,0.038646214,0.75507843,0.07023685
Zfp523,0.31855452,0.17076388,0.31855452,0.1707639,0.31855458,0.17076391,0.31855464,0.17076391,0.31855464,0.1707639,0.31855452,0.17076391,0.31855452,0.1707639
Zfp524,0.6213011,-0.24655128,0.56606174,-0.99543345,0.5694675,-0.9623495,0.57927203,-1.0029498,0.5795708,-0.9626575,0.56638795,-0.9862589,0.54771674,-0.6329407
Zfp526,0.11773357,0.14521717,0.11773357,0.14521717,0.11773357,0.14521717,0.11773357,0.14521717,0.11773357,0.14521717,0.11773357,0.14521717,0.11773357,0.14521717
Zfp532,0.727736,-0.7818336,0.97137105,-0.31349677,1.0023884,0.008052597,1.0568296,0.3544865,1.063996,0.43878984,1.0639961,0.43878984,1.0630773,0.44057605
Zfp553,1.4048775,0.5948556,1.3940157,-0.5693516,1.4070103,-0.42337868,1.4067506,-0.5527218,1.41506,-0.51234215,1.4010231,-0.5743746,1.4019549,-0.65864235
Zfp57,0.508287,0.2072899,0.50762796,0.06579138,0.5076281,0.0657914,0.50762796,0.06579144,0.50762796,0.065791376,0.50762796,0.06579137,0.507628,0.06579138
Zfp574,0.37857324,0.07694379,0.3492385,-0.12508468,0.34923846,-0.12508473,0.35023153,-0.09509092,0.3502316,-0.095090955,0.3502316,-0.095090926,0.3619097,0.1266482
Zfp579,0.65948963,-0.2805782,0.6756349,0.015713913,0.70476735,-0.049651258,0.7047674,-0.049651247,0.7047674,-0.04965127,0.70476735,-0.049651265,0.70476735,-0.049651295
Zfp58,0.19056797,0.86513156,-0.0737851,-0.72084457,-0.073785126,-0.7208446,-0.07378507,-0.72084457,-0.07378511,-0.7208446,-0.0737851,-0.72084457,-0.0737851,-0.72084457
Zfp580,0.7460551,0.35106823,0.7497443,0.11432883,0.7497442,0.11432883,0.7497443,0.1143288,0.7497443,0.11432879,0.7497443,0.11432879,0.74179494,0.13235283
Zfp583,0.30181813,-0.08640284,0.31532514,-0.1784081,0.32193047,0.060671248,0.31532514,-0.17840809,0.31885707,-0.18527764,0.32061982,0.021086322,0.31913292,0.0077457614
Zfp592,0.3326648,0.17327042,0.33266485,0.17327045,0.33266473,0.17327042,0.33266473,0.17327043,0.3326648,0.17327042,0.33266485,0.17327045,0.33266485,0.17327042
Zfp593,1.2961451,0.35654646,1.306375,0.11078003,1.2996773,0.07465656,1.3036281,0.028171608,1.3036281,0.02817156,1.2951092,0.012539515,1.3085741,0.029895062
Zfp618,0.58921945,0.23593466,0.58658826,0.24105226,0.5892194,0.23593472,0.58658826,0.24105228,0.5892194,0.23593463,0.58921945,0.23593469,0.5891646,0.23427804
Zfp629,0.11773357,0.14521717,0.11773357,0.14521717,0.11773357,0.14521717,0.11773357,0.14521717,0.11773357,0.14521717,0.11773357,0.14521717,0.11773357,0.14521717
Zfp639,0.23003137,0.11609842,0.23003137,0.11609842,0.23003137,0.116098404,0.23003137,0.116098374,0.23003131,0.11609839,0.23003137,0.11609842,0.23003137,0.11609839
Zfp64,0.6972271,0.057166614,0.67425543,-0.10676616,0.6812154,-0.14856209,0.6766709,-0.14538655,0.6856576,-0.12596877,0.6828958,-0.13619474,0.6843802,-0.18056373
Zfp647,0.9777367,0.03374879,0.9049727,-0.76063216,0.91862035,-0.5397901,0.91582143,-0.75487,0.92045224,-0.7166265,0.91030824,-0.7251505,0.91747856,-0.64928806
Zfp652,0.4971305,0.24162094,0.49866295,0.11803369,0.4986629,0.11803366,0.49866295,0.11803363,0.4986629,0.11803368,0.4986629,0.11803368,0.49866295,0.11803366
