GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
Tomm40,0.2309506,0.013227548,0.22478819,-0.043590393,0.23368567,-0.028488748,0.22110221,-0.0075853467,0.22928959,0.014452275,0.22928959,0.0144522,0.23267972,-0.01866256
Tomm40l,-0.11203557,0.12343393,0.046661764,0.13871084,0.046661764,0.13871084,0.046661764,0.13871084,0.046661764,0.13871084,0.046661764,0.13871084,0.046661764,0.13871087
Tomm7,-0.030201882,0.031535666,-0.01618886,-0.10594538,-0.015996784,-0.10782168,-0.013633996,-0.12931527,-0.01973784,-0.06969256,-0.017733037,-0.09086188,-0.011869609,-0.14714724
Tomm70a,0.17453322,0.0378361,0.17137736,0.025655862,0.1868003,3.553182e-05,0.1868003,3.5505742e-05,0.18680036,3.555417e-05,0.1868003,3.5516918e-05,0.1868003,3.552437e-05
Tonsl,0.21962437,0.10527758,0.23300457,-0.15574403,0.24392354,-0.12524948,0.23307645,-0.15487263,0.23691827,-0.05524884,0.24992257,-0.18384773,0.25015795,-0.19105043
Top1,0.04610938,0.08237055,0.04610938,0.082370564,0.04610938,0.08237058,0.04610938,0.082370564,0.04610938,0.082370564,0.04610938,0.082370564,0.04610938,0.082370564
Top1mt,0.09946817,-0.48624146,0.061494052,-0.004557658,0.061494052,-0.0045576245,0.061494052,-0.0045576654,0.030329108,0.047213014,0.030329078,0.047212962,0.061494052,-0.004557643
Top2b,-0.05648774,0.07640885,-0.05648777,0.0764088,-0.05648774,0.07640883,-0.04205787,-0.06454298,-0.05648777,0.0764088,-0.05648774,0.07640883,-0.05648777,0.07640882
Top3b,-0.021399915,0.09807685,-0.021399945,0.098076805,-0.021399915,0.098076865,-0.021399915,0.09807685,-0.021399915,0.098076835,-0.021399915,0.09807688,-0.021399885,0.098076865
Topbp1,0.509206,0.29090726,0.54803306,-0.31924832,0.56713355,-0.22961219,0.54853547,-0.31315184,0.56479704,-0.19578569,0.58210427,-0.37584662,0.58535725,-0.400763
Tor1aip2,-0.031640112,0.09119132,-0.031640112,0.09119134,-0.031640142,0.09119131,-0.031640142,0.09119132,-0.031640112,0.09119135,-0.031640112,0.09119132,-0.031640112,0.09119134
Tor3a,-0.038104475,-0.019152392,-0.029358298,-0.10458547,-0.043962717,0.038071338,-0.029358298,-0.10458548,-0.029358298,-0.10458548,-0.029358298,-0.10458547,-0.039802253,-0.08723616
Tox4,0.08638096,-0.019462153,0.08236495,0.019766454,0.07503271,0.09138779,0.07503274,0.09138785,0.07503271,0.09138782,0.07503271,0.09138782,0.07503271,0.09138784
Tpbg,0.16139919,-1.0454688,0.23396331,-0.31475872,0.21896225,-0.46785608,0.21846938,-0.15360956,0.20213807,0.00591572,0.202138,0.0059157424,0.18023136,0.21990092
Tpcn1,0.017524213,0.060749646,0.04124713,-0.170977,0.03248447,-0.085382886,0.04124713,-0.170977,0.04124713,-0.17097697,0.035339355,-0.113269486,0.02628687,-0.0248444
Tpd52,0.16729787,0.16920848,0.17307186,0.112807795,0.17307186,0.112807795,0.16729784,0.1692085,0.16729784,0.16920848,0.16729784,0.16920851,0.16729784,0.16920851
Tpd52l1,0.049797654,0.14080249,0.049797654,0.14080249,0.049797654,0.14080249,0.049797654,0.14080249,0.049797654,0.14080249,0.049797654,0.14080249,0.049797654,0.14080249
Tpi1,0.024085224,-0.26957992,0.027608693,-0.30399716,0.027608663,-0.30399725,0.027608693,-0.30399716,0.027608633,-0.30399725,0.027608693,-0.30399722,0.027608693,-0.30399716
Tpk1,0.12249693,0.1856016,0.12249696,0.18560164,0.12249693,0.18560164,0.12249693,0.18560164,0.12249696,0.18560165,0.12249696,0.18560162,0.12249693,0.18560162
Tpm1,0.11692679,-0.8448123,0.09088132,-0.40435478,0.15989444,0.04350922,0.15978646,-0.052744877,0.19904691,-0.11796358,0.1597864,-0.05274496,0.17162448,0.14990015
Tpm2,0.028563112,-1.5196203,0.21691638,-0.4671939,0.1687944,-0.33213124,0.17065284,-0.004329305,0.15239385,0.1740254,0.15239388,0.17402536,0.15239382,0.17402533
Tpm3,0.117978275,0.18396327,0.117978305,0.1839633,0.117978305,0.18396322,0.117978275,0.18396325,0.117978275,0.18396325,0.117978334,0.18396328,0.117978275,0.18396325
Tpm4,-0.549399,-0.96049374,-0.054904535,0.07610503,-0.054904535,0.07610503,-0.054904535,0.07610503,-0.05490452,0.07610504,-0.054904535,0.07610503,-0.054904535,0.07610503
Tpmt,0.004071951,0.11331649,0.004071951,0.11331649,0.004071951,0.11331649,0.004071951,0.11331648,0.004071951,0.11331649,0.004071951,0.11331649,0.004071951,0.11331649
Tpp1,0.069988966,-0.60367507,-0.035563618,0.08417167,-0.035563618,0.08417167,-0.035563618,0.0841717,-0.035563648,0.08417164,-0.035563618,0.0841717,-0.029197156,0.021983843
Tpp2,0.07073039,0.03133205,0.078894526,-0.04841553,0.07951152,-0.054442275,0.07951149,-0.05444224,0.078894496,-0.048415586,0.078894526,-0.04841558,0.078894526,-0.04841552
Tpr,0.0399971,0.0345742,0.049713552,-0.062185008,0.05665633,-0.13000259,0.056879014,-0.12730041,0.049936205,-0.059482794,0.049713552,-0.06218503,0.060705394,-0.16651368
Tpra1,0.09870428,-0.06554118,0.101640016,-0.09421808,0.09032482,0.01630969,0.09430784,-0.022596743,0.09430781,-0.022596743,0.09162247,0.0036339574,0.09430784,-0.022596736
Tprgl,-0.025387704,0.068226814,-0.025387675,0.068226874,-0.025387675,0.068226874,-0.025387675,0.06822683,-0.025387675,0.068226844,-0.025387675,0.06822686,-0.025387675,0.06822683
Tprkb,-0.24556126,0.085862264,-0.15016669,-1.0888814,-0.38898462,-0.09247506,-0.29603332,-0.57404643,-0.24556127,0.085862264,-0.29603338,-0.5740464,-0.24556126,0.085862264
Tprn,0.20087853,0.17515579,0.20087856,0.17515583,0.20087853,0.17515583,0.20087853,0.17515583,0.20087856,0.17515583,0.20087856,0.17515586,0.20087856,0.1751558
Tpst1,0.08933881,0.11525877,0.08933878,0.11525877,0.08933881,0.11525877,0.08933884,0.1152588,0.08933881,0.11525878,0.08933881,0.1152588,0.08933881,0.11525878
Tpst2,-0.009626567,0.104901314,-0.009626567,0.104901314,0.025010884,-0.23343898,0.025010884,-0.233439,0.025010884,-0.233439,0.025010854,-0.23343895,-0.009626567,0.10490133
Tpt1,0.041870177,0.19505997,-0.42945847,-0.8282654,-0.42945847,-0.8282654,-0.42945847,-0.8282654,-0.42945847,-0.8282654,-0.42945847,-0.8282654,-0.42945847,-0.8282654
