GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
Hoxa10,-0.45109105,0.5448371,-0.24217877,0.17914774,0.19388187,0.92048365,-0.8518063,-0.22280933,-0.5064567,0.2013243
Hoxa11,0.052421022,-0.1639093,-0.75517046,0.09092629,0.18464467,-0.015657585,-0.027122125,0.20599252,-0.018581621,-0.24007712
Hoxa13,-0.6445833,-0.74629617,-0.40123206,0.33522367,0.07914272,-0.48086792,-0.6173474,-0.18890257,-0.22740388,0.7244284
Hoxa3,-1.059157,0.1546597,-0.51042485,0.33352864,-0.49386507,0.27115068,-0.67116046,0.5158116,-0.5793673,0.3014231
Hoxa4,-0.9554881,-0.20734088,-0.27531785,0.16894756,-0.16883963,-0.08563122,-0.52407616,0.1814046,-0.76840955,0.10193162
Hoxa5,-0.65706694,-0.5983938,-0.027931027,-0.25064236,-0.0052491874,-0.4388311,-0.1467633,0.3226469,-0.57765,0.3283927
Hoxa7,-0.084882386,-0.31336448,-0.14682546,-0.5171571,-0.14188957,-0.14144692,-0.58567435,-0.53572476,-0.32919195,-0.526368
Hoxb5,-0.3293642,-0.28914955,-0.5346122,-0.49779862,-0.062029503,-0.3040703,-0.021196596,-0.14633045,-0.34302357,0.76223415
Hoxb9,0.11255685,0.3914773,0.052200615,-0.03672524,0.08793984,0.31489283,0.6708819,1.0022123,0.26382247,0.22066599
Hoxc10,-0.36078203,0.111144975,-0.29417294,0.5786162,-0.014504194,0.18386365,-0.47363895,-0.22904663,-0.42115813,0.14337854
Hoxc11,-0.914397,0.07373014,-0.6282451,0.105123684,-0.86996645,0.35158902,-0.6724156,-0.019659407,-0.4696623,-0.018223453
Hoxc12,-0.04699356,0.48710638,-0.4704765,0.18077631,-0.07094329,0.25060862,-0.32293856,0.043798856,-0.081170596,0.26810226
Hoxc13,-0.22075444,0.117037624,-0.35709113,-0.14429756,-0.22878104,-0.1780954,-0.663514,-0.25876343,-0.17290774,0.6961709
Hoxc4,-0.6729167,-0.18240045,-0.3368894,-0.31708676,-0.14311922,0.11573917,-0.48028463,-0.27073407,-0.27408347,0.7204044
Hoxc6,-0.4247693,-0.5112822,-0.30953157,-0.55645865,-0.1386238,0.11609191,-0.8408331,-0.37292945,-0.68384176,0.21427174
Hsf1,0.43731865,0.26869476,0.02405265,-0.4358975,-0.17135543,-0.16357578,0.38056552,-0.29458502,-0.26268977,-0.166813
Hsf2,0.10680851,0.27944934,0.007063329,0.12607068,-0.35132295,0.03062011,0.06899697,0.15606721,-0.5474716,-0.37653857
Ikzf2,-0.19969678,0.38534248,-0.9452063,0.47247753,-0.034057707,0.1866887,-0.07466126,-0.68518806,-0.9844785,-0.70005286
Irf1,-0.16007334,0.37198377,-0.12003862,-0.55379945,0.23428598,0.47604424,0.77356297,-0.3694386,0.5937087,1.1360174
Irf2,0.81887716,0.41856623,0.988025,0.10492523,-0.060970478,-0.45663124,0.65054524,0.41688347,0.005196806,-0.4952129
Irf4,-0.36842275,-0.09043145,-0.36842275,-0.09043145,-0.36842275,-0.09043145,-0.36842275,-0.09043145,-0.36842275,-0.09043145
Irf9,-0.15876895,0.2699027,-0.14157835,-0.092994645,-0.19566002,0.3932831,0.45375854,-0.10314426,-0.5560555,0.2135394
Isl2,-0.3437428,1.1861879,-0.98973644,1.2905669,0.17919904,0.8126639,-1.0621835,0.02627645,-0.5495115,-0.81601155
Jun,-0.04206831,0.8997321,-1.5388715,-1.2564318,-0.1066891,0.17184521,-0.5645529,-1.5434706,0.34881514,0.7152126
Junb,-0.3646822,1.062226,-0.7318781,-0.9135295,0.27102762,0.48033208,-0.09321723,-1.3610584,0.79155236,0.7910576
Jund,-0.17035353,0.6377253,-1.3171452,-1.2259167,-0.21230552,-0.102041185,-0.5514916,-1.3198175,0.30063662,0.6794738
Kdm5A,0.6623651,0.28487942,0.72262025,0.2943496,0.41609362,-0.11799511,0.770704,0.37792295,-0.104100995,0.10900922
Klf1,-0.07099963,-0.6491483,-0.42070153,0.25230584,0.014555134,-0.40009558,-0.29529813,0.47453317,-0.12959394,0.5820326
Klf16,0.21983004,0.4470187,0.35863087,0.3502234,0.8784499,0.51889044,0.20765361,-0.41150928,0.75376815,0.7774031
Klf17,-0.19478723,-0.13210142,-0.20324612,-0.60236096,-0.116867654,0.11902493,-0.40558738,-0.5521352,0.109714344,0.050415155
Klf4,-0.10855769,0.49367237,-0.38812906,-0.37720835,-0.06488193,-0.41796935,-0.12872705,-0.3679279,0.41383684,0.58731234
Klf5,-0.37819228,0.6333474,-1.196028,-1.0144014,-0.5170889,0.02917431,-0.5751241,-0.95568687,-0.102971844,0.28163153
Klf7,0.9491159,0.2651285,0.83815265,0.21277913,-0.031013355,-0.28042555,0.345289,-0.25782678,-0.41964433,-0.6071278
Lhx1,-0.07485295,0.42230928,0.21890292,0.029655188,-0.21714771,0.19803016,-0.30398205,0.18214773,-0.47123957,0.15616657
