0,1,2,3,4,5,6,7,8,9,10,11,12,13
-0.49161258,-0.22366734,-0.49578014,-0.24312605,-0.5003406,-0.24552564,-0.5003406,-0.24552564,-0.5003406,-0.2455257,-0.5003406,-0.24552564,-0.49026164,-0.2389613
-0.648304,-0.11670898,-0.6552671,-0.123330206,-0.6613729,-0.122431025,-0.65052617,-0.12203936,-0.6566324,-0.12114024,-0.661373,-0.122430965,-0.6567714,-0.15527393
-0.5857986,-0.7787604,-0.5916008,-0.78107685,-0.5916008,-0.7810767,-0.5896399,-0.780045,-0.58964,-0.7800451,-0.5916008,-0.7810768,-0.58882546,-0.77940315
-0.32244125,0.009496678,-0.32244125,0.009496685,-0.32244125,0.009496681,-0.3224412,0.009496696,-0.3224413,0.009496681,-0.32244125,0.009496681,-0.3224412,0.009496715
-0.07108736,-0.12965916,-0.08798689,-0.13736983,-0.08798686,-0.13736987,-0.08160785,-0.1354314,-0.08160782,-0.13543135,-0.08798686,-0.13736983,-0.07658589,-0.12976526
-0.59942734,-0.74949795,-0.60144675,-0.74985015,-0.60144687,-0.74985003,-0.6017704,-0.75266427,-0.6017704,-0.75266415,-0.60144687,-0.7498501,-0.6017058,-0.7544302
-0.2760217,-0.39867258,-0.2438744,-0.43099022,-0.24553642,-0.43074548,-0.24342868,-0.43075567,-0.24509057,-0.43051094,-0.24553642,-0.43074548,-0.24456075,-0.4304158
-0.33034387,0.14529055,-0.33034393,0.14529055,-0.3303438,0.14529058,-0.33034387,0.14529054,-0.3303438,0.14529054,-0.33034387,0.14529057,-0.33034387,0.14529055
-0.5427792,-0.3863356,-0.5440203,-0.3861521,-0.5440202,-0.3861521,-0.5444422,-0.38856477,-0.5444423,-0.38856477,-0.5440202,-0.38615215,-0.54399705,-0.38759774
-0.31580207,0.035339303,-0.31580207,0.035339296,-0.31580207,0.035339296,-0.31580207,0.03533928,-0.315802,0.035339296,-0.31580207,0.03533929,-0.31580207,0.03533929
-1.1647085,-1.0798663,-1.1822373,-1.1227396,-1.1151687,-1.0198011,-1.1142371,-1.025371,-1.1142371,-1.0253712,-1.1151686,-1.019801,-1.0943123,-0.8690015
-0.2954894,0.015830409,-0.35176447,-0.006865926,-0.35176453,-0.0068659633,-0.35176453,-0.00686593,-0.35176447,-0.006865982,-0.35176453,-0.0068659484,-0.35176453,-0.006865993
-0.30626604,0.16916855,-0.30626604,0.16916855,-0.30626598,0.16916853,-0.30626604,0.16916855,-0.30626598,0.16916856,-0.30626598,0.16916855,-0.30626604,0.16916856
-0.56748796,-0.5507014,-0.5657898,-0.55095166,-0.57357895,-0.4763425,-0.5695058,-0.49998045,-0.5712042,-0.49973035,-0.56950593,-0.49998033,-0.5712042,-0.49973023
-0.5888493,-0.26906216,-0.5843278,-0.26972795,-0.5882697,-0.26914746,-0.5843278,-0.26972795,-0.5882697,-0.26914752,-0.5882697,-0.26914746,-0.5882698,-0.26914752
-0.04504201,0.036833275,-0.052187204,0.03398075,-0.052187204,0.033980735,-0.04977238,0.035251334,-0.049772352,0.035251353,-0.052187204,0.033980742,-0.048769385,0.036041696
