GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
Cux1,-0.06223305,-0.50590885,-0.09711678,-0.4494243,-0.12616569,-0.24379215,0.14905754,-0.3997729,0.1455098,-0.6365143,0.2588914,-0.63268703,0.013751384,-0.48024526,0.34540817,-0.68304574,0.1820674,-0.6617092,-0.16862063,-0.4279705
Cxxc1,-0.67372304,-0.0931039,-0.20525153,-0.565157,0.075029016,-0.7333759,-0.28237638,-0.4244562,-0.17077015,-0.5375251,-0.47102028,-0.26217088,0.31853896,-0.64144754,-0.21960182,-0.49841323,-0.17452513,-0.5106651,-0.36693853,-0.35119745
Ddx1,-0.55122685,-0.076935254,-0.53710365,-0.04969786,-0.41698608,-0.46170563,-0.0607224,-0.30156448,-0.35861364,-0.07547035,-0.22463946,-0.22604918,-0.3665956,-0.06651487,-0.20331256,-0.1544678,-0.15360942,-0.23378816,-0.5442744,-0.08953338
Ddx20,-0.22596802,0.121070124,-0.16706915,0.087049864,-0.3056826,-0.17443366,-0.3736878,-0.04742503,-0.42892057,0.091141246,-0.3613556,-0.16671348,-0.385408,-0.06948248,-0.1941017,-0.11519289,-0.17838177,-0.03209771,-0.17788368,-0.038852178
Ddx41,-0.044064444,-0.2609385,-0.0059352107,-0.5043204,0.23726691,-0.63715374,-0.14327772,-0.26706794,0.00040743873,-0.5083668,-0.14327772,-0.26706794,-0.031607997,-0.27285546,-0.044064444,-0.2609385,0.00040743873,-0.5083668,0.064122066,-0.46108732
Ddx58,-0.3249317,-0.11559482,-0.40050998,0.08412871,-0.62401,0.18850613,-0.3028522,0.22527774,-0.55555165,-0.0700286,-0.4775672,0.31224713,-0.71674067,0.35288504,-0.5364966,0.31360006,-0.14248802,-0.08527565,-0.3675156,0.11659358
Deaf1,-0.19538821,-0.15447484,-0.019837894,-0.34898642,-0.0583114,-0.2446668,0.06847992,-0.3159938,0.082549326,-0.32817796,-0.34103256,0.23988198,0.15607265,-0.28921756,0.11332062,-0.3478733,-0.09890686,-0.18293278,-0.049293693,-0.28226337
Dedd,0.12750082,-0.24453573,0.34643325,-0.34506515,0.30400106,-0.13876782,0.12221043,0.070486896,0.12221043,0.070486896,0.12221043,0.070486896,-0.62347615,0.48988447,-0.6873228,0.46482804,0.19474334,-0.35595283,0.19474334,-0.35595283
Dedd2,-0.017689768,0.3406421,-0.017689768,0.3406421,0.06306182,-0.2232536,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421
Dhx33,0.06306182,-0.2232536,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,0.06306182,-0.2232536,-0.017689768,0.3406421
Dmap1,-0.3105079,0.51877445,-0.0531266,0.07552738,0.16610846,-0.28110835,-0.27029926,-0.009276093,-0.09829515,-0.11967878,-0.3506865,0.034446873,-0.086732805,-0.09878692,-0.10441238,-0.04459448,-0.12595673,-0.15885329,-0.12595673,-0.15885329
Dmtf1,-0.8673213,-0.34340778,-0.90536064,-0.53918064,-0.1174918,-0.50160915,-0.08694489,-0.30996642,0.38827008,-0.4806869,-0.4712625,-0.39050612,0.22991912,-0.6952059,0.36804512,-0.56212234,0.34094077,-0.3842616,0.4084872,-0.24012792
Dnajb6,-0.01425866,0.15052871,0.040056527,0.057041153,0.1469487,-0.42578956,0.2460617,-0.5698095,0.020470548,-0.38720644,0.2460617,-0.5698095,0.2460617,-0.5698095,0.14513852,-0.4124895,-0.018648833,-0.44260755,-0.018648833,-0.44260755
Dnajc2,-0.42186424,-0.045834593,-0.19509442,-0.10563361,-0.19612937,-0.25776356,0.13759392,-0.30228928,-0.238423,-0.088494025,-0.2636309,0.07833966,-0.10739732,-0.18938649,-0.15211494,-0.13381734,-0.25845653,-0.32039434,-0.44660836,-0.14037545
Dnmt1,-0.47107154,0.1643134,-0.58297646,0.14336404,-1.0357451,-0.056205813,-0.5443253,0.050972313,-0.8285498,0.15100001,-0.72420335,0.21981286,-0.75671434,0.57638764,-0.26517156,-0.11741972,-0.72814524,-0.07702362,-0.8743445,0.055563707
Dr1,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421
Drap1,-0.059306998,-0.5921445,-0.17810883,-0.57493955,-0.1482224,-0.28040364,0.023592185,-0.5163873,-0.2836962,-0.31879902,-0.5125575,0.043240346,-0.08064094,-0.46636567,-0.05348971,-0.39482248,0.001697652,-0.56107676,-0.42867196,-0.2972624
E2f3,0.15295626,0.43365255,0.15492356,-0.2082629,-0.30107358,0.29066536,-0.21724226,0.059302486,-0.18197393,-0.02168074,-0.124013975,0.006757901,-0.27010837,0.22225241,0.4659438,-0.43370387,-0.46557176,0.3142289,-0.5043305,0.2919653
