Source,Target,PValue
Hnf4A,Hpd,1.0638017865242578e-18
Cebpb,Tmem71,1.0803274774920621e-18
Hnf4A,Cd274,1.0961786012593715e-18
Thap1,Mob4,1.1019318290616494e-18
Creb3,Slc38A1,1.163933960395089e-18
Ubtf,Mta3,1.2218196856722684e-18
Hnf4A,Serpinc1,1.2235008979213043e-18
Znf143,Hspc324,1.2415152598306178e-18
Nfyc,Wdr59,1.42362844923851e-18
Tfdp1,Ypel5,1.5599913535244884e-18
Fosl1,Klf4,1.929960038004846e-18
Nfyc,Hmg20B,2.072870693306201e-18
Nr2F6,Map3K11,2.0763888459649084e-18
Rela,Bin3,2.1832802030249472e-18
Elk4,Fbxl3,2.4929807578236774e-18
Nr1H3,Fyn,2.5947935027028454e-18
Thap11,Thyn1,2.8249744749585756e-18
Fosb,Zbtb20,3.2106055817793362e-18
Stat1,Alyref,3.3594709586508365e-18
Elk1,Prss8,3.522025152874401e-18
Taf1,Aars2,3.547294502279254e-18
Etv6,Ttc39A,4.151463229757598e-18
Znf787,Ergic1,4.760526264806607e-18
Irf1,Ccl2,4.7993124275136364e-18
Rbbp5,Nrbp1,5.157058487002878e-18
Znf768,Tmem219,5.209022771352837e-18
Relb,Rhoq,5.252990006543655e-18
Ubtf,Eif4Enif1,5.7427473904690216e-18
Atf4,Plekha1,6.284417771591686e-18
Rb1,Ube4B,6.829729551686339e-18
Ppara,Or7E47P,6.8472965137339504e-18
Ddit3,Arr3,7.136241177021397e-18
Foxp2,Ak4,7.58357837445444e-18
Nfyc,Asb7,8.242219428111213e-18
Ubtf,Anp32E,8.984625742987028e-18
Rbbp5,Trappc3,1.0028300174947964e-17
Hivep2,Vegfa,1.016495882344268e-17
Nfyc,Med13,1.2777435070733528e-17
Znf143,Fam104B,1.3528719383003893e-17
Rara,Nppa,1.4020631101841643e-17
Nkx2-8,Ibsp,1.7319712295378356e-17
Ubtf,Creb1,1.8918704763672754e-17
Sp1,Zbtb3,2.0344099784497732e-17
Rara,Pfkl,2.0995285774651302e-17
Creb3L2,Slc1A4,2.300811735062298e-17
Nfyc,Add1,2.332364012621558e-17
