Genesymbol	0	1	2	3	4	5	6
Foxj2	7.82154	4.51965	4.449733333	3.49923	3.430703333	4.087543333	2.153053333
Foxj3	15.74256667	19.03146667	23.59733333	21.4916	17.6599	15.16216667	15.8048
Foxk1	10.18084	16.0479	17.6997	14.5336	13.6129	10.42493333	5.860183333
Foxk2	40.9009	35.52853333	34.49483333	33.66196667	48.07413333	36.3417	32.98916667
Foxm1	24.62296667	69.0344	58.0334	43.0271	43.32863333	47.0248	28.9627
Foxn2	11.48773333	15.09183333	15.7679	16.40216667	11.68493333	11.4859	12.4162
Foxn3	10.90195	16.09653333	22.79753333	24.34323333	14.07333333	9.756143333	33.94405333
Foxo1	5.083193333	4.98878	5.769936667	5.687576667	5.108713333	6.22631	9.439153333
Foxo4	8.198686667	47.0197	47.67133333	32.78326667	26.24166667	24.1333	28.7296
Foxp1	40.16293333	33.01063333	34.52016667	29.1158	19.43316667	21.2708	15.5658
Foxp4	15.3898	15.50456667	26.33776667	42.11423333	67.1469	65.12636667	24.55116667
Foxs1	15.363	0.0	0.051547	0.027243933	0.111746367	0.114178867	0.219006333
Fubp1	22.4533	82.8925	90.5113	80.12423333	75.45906667	70.9474	92.34036667
Fubp3	55.1598	56.9291	47.16283333	68.13746667	51.4458	42.10613333	62.33723333
Gabpa	29.4236	38.68803333	33.1922	29.2571	26.52833333	25.43563333	46.3431
Gabpb1	19.91976667	26.67253333	28.08793333	26.1841	28.09466667	30.52736667	32.2587
Gabpb2	5.62946	12.03723333	12.5368	13.80776667	10.32850333	8.038643333	15.39353333
Gata2	13.63443333	0.878200667	0.376719	3.446303333	0.569081333	0.589791667	0.417371667
Gata3	9.974586667	0.172589667	0.182147333	1.633940333	2.362064333	1.269948	0.806620667
Gatad1	55.8527	47.30486667	36.82943333	39.5931	34.10166667	36.09066667	35.0919
Gatad2b	13.3137	22.27486667	29.58073333	19.44543333	18.96736667	14.41246667	20.94073333
Gli1	0.053247967	0.140953133	0.602635667	2.927053333	5.838976667	4.243163333	7.194046667
Gli2	1.346653333	1.79695	0.773765333	0.398226333	1.662776667	2.29692	11.16490667
