Source,Target
Irf6,Tuft1
Irf6,Uqcrc2
Irf6,Ush1c
Itgb4,Tcf7l2
Itgb4,Ppard
Itgb4,Klf5
Itgb4,Esrra
Itgb4,Satb2
Itgb4,Tfcp2l1
Itgb4,Gtf2ird1
Itgb4,Zfp281
Kcnk1,Mafg
Kcnk1,Atf5
Kcnk1,Tfcp2l1
Kcnk1,Creb3l1
Kcnk1,Zfp217
Kcnn4,Myb
Kcnn4,Nfkb1
Kcnn4,Ppard
Kcnn4,Ikzf1
Kcnn4,Plagl2
Kcnn4,Satb2
Kcnn4,Ascl2
Kcnn4,Grlf1
Kcnn4,Tfcp2l1
Kcnn4,Ovol2
Kcnn4,Runx1
Kcnn4,Tnfaip3
Klf4,Trim16
Klf4,Aldh7a1
Klf4,Rcl1
Klf4,Qprt
Klf4,Dhtkd1
Klf4,Crip1
Klf4,Ezr
Klf4,Itga6
Klf4,Klf5
Klf4,Serpinb6a
Klf4,Tmc4
Klf4,Tspan8
Klf4,Klf6
Klf4,Fosl2
Klf4,Fos
Klf4,Gzf1
Klf4,Mlxip
Klf4,Ets2
Klf4,Creb3l1
Klf4,Smad4
Klf4,Tnfaip3
Klf5,Myb
Klf5,Tfcp2
Klf5,Lifr
Klf5,0610010O12Rik
Klf5,Abcb1a
Klf5,Aim1l
Klf5,Ascl2
Klf5,Atp1b1
Klf5,BC046404
Klf5,Camk2d
Klf5,Cdkn2b
Klf5,Dcbld1
Klf5,Evpl
Klf5,Fhdc1
Klf5,Fzd5
Klf5,Gdpd1
Klf5,Gjb3
Klf5,Igsf9
Klf5,Itpkc
Klf5,Itpr3
Klf5,Krt19
Klf5,Krt20
Klf5,Krtcap3
Klf5,Lad1
Klf5,Liph
Klf5,Lpin3
Klf5,Lrig3
Klf5,Maoa
Klf5,Mapk13
Klf5,Marveld3
Klf5,Me2
Klf5,Mgst2
Klf5,Myo1a
Klf5,Ocln
Klf5,Oit1
Klf5,Ovol1
Klf5,Ovol2
Klf5,Pak1
Klf5,Pak4
Klf5,Pkp3
Klf5,Plcb3
Klf5,Plek2
Klf5,Plekhh1
Klf5,Pls1
Klf5,Prss32
Klf5,Pycard
Klf5,Rab25
Klf5,Rassf7
Klf5,Ripk4
Klf5,S100a14
Klf5,Scamp2
Klf5,Sdcbp2
Klf5,Serpinb6a
Klf5,Sfn
Klf5,Slc25a24
Klf5,Slc26a2
Klf5,Slc6a8
Klf5,Spint1
Klf5,Sri
Klf5,St14
Klf5,Sult2b1
Klf5,Tjp3
Klf5,Tmc4
Klf5,Tmem30b
Klf5,Tmem54
Klf5,Tmem79
Klf5,Tnk1
Klf5,Trpm4
Klf5,Tspan8
Klf5,Usp43
Klf5,Vsig10
Klf5,Satb2
Klf5,Purb
Klf5,Atf5
Klf5,Gzf1
Klf5,Jarid2
Klf5,Grhl2
Klf5,Zfp281
