TF	Gene	Input
Gmds	Zfp281	1
Gmds	Smad1	1
Gmds	Irf6	1
Golm1	Myb	1
Golm1	Klf5	1
Golm1	Rcor1	1
Golm1	Satb2	1
Golm1	Fosl2	1
Golm1	Jarid2	1
Golm1	Tfcp2l1	1
Golm1	Ovol2	1
Golm1	Grhl2	1
Golm1	Creb3l1	1
Golm1	Smad1	1
Golm1	Tnfaip3	1
Golph3l	Rcor1	1
Golph3l	Satb2	1
Golph3l	Prdm14	1
Golph3l	Gm98	1
Golph3l	Smad1	1
Gpa33	Ppard	1
Gpa33	Zkscan17	1
Gpa33	Klf5	1
Gpa33	Sox9	1
Gpa33	Esrra	1
Gpa33	Tfap4	1
Gpa33	Satb2	1
Gpa33	Lass6	1
Gpa33	Ascl2	1
Gpa33	Smarca2	1
Gpa33	Gtf2ird1	1
Gpa33	Ovol2	1
Gpa33	Mlx	1
Gpa33	Zfp281	1
Gpa33	Irf6	1
Gpa33	Mxi1	1
Gpr160	Myb	1
Gpr160	Stat5b	1
Gpr160	Satb2	1
Gpr160	Fosl2	1
Gpr160	Atf5	1
Gpr160	Lass6	1
Gpr160	Ascl2	1
Gpr160	Jarid2	1
Gpx2	Myb	1
Gpx2	Tfcp2	1
Gpx2	Klf5	1
Gpx2	Jarid2	1
Gpx2	Ovol2	1
Gpx2	Smad1	1
Grb7	Zfp524	1
Grb7	Sarnp	1
Grb7	Tfcp2l1	1
Grb7	Irf6	1
Ildr1	Satb2	1
Ildr1	Prdm14	1
Ildr1	Tfcp2l1	1
Ildr1	Gm98	1
Ildr1	Creb3l1	1
Irf6	Trim35	1
Irf6	Sh2d3c	1
Irf6	Cadm1	1
Irf6	Slc12a4	1
Irf6	Wisp2	1
Irf6	Arhgap23	1
Irf6	Parvb	1
Irf6	Bdnf	1
Irf6	Hip1	1
Irf6	Neurl2	1
Irf6	Ppm1f	1
Irf6	1190003J15Rik	1
Irf6	Acpl2	1
Irf6	Aim1l	1
Irf6	Atp11b	1
Irf6	Brpf3	1
Irf6	Camsap3	1
Irf6	Cdc42bpg	1
