Source,Target,PValue
Stat3,Dis3,0.002251471811754623
Creb1,Crlf3,0.0022552189049389495
Irf5,Tcirg1,0.002258752969085915
Smad7,Mars,0.0022596932263828843
Rbck1,Senp2,0.002260871396795158
Rbmx,Cbx1,0.002265995723727094
Epas1,Kdr,0.0022823304488883735
Yap1,Adamts1,0.0022993392690691923
Zbtb44,Ern1,0.0023119450829341827
Tcf3,Atf6b,0.002334603045910854
Atf6b,Tcf3,0.0023346030459108678
Thoc1,Rps6kb1,0.0024274341444768073
Hopx,Lyve1,0.0024498276336333714
Smad3,Pdlim1,0.0024739223693967596
Ddx58,Dtx3l,0.0024911504071264265
Ppargc1a,Ndufa8,0.0024972803799110663
Taf1,Tgs1,0.002502692592915996
Sp1,Gsk3b,0.002535773865847431
Trim27,Mphosph10,0.002536465294756219
Csde1,Tufm,0.0025385391523957265
