source,target,p-value,model
Carhsp1,Ddah1,7.144666370459402e-27,-1
Zeb1,Fuom,7.721131356957385e-27,-1
Zbtb20,Tacc1,7.744608461159219e-27,-1
Apex1,Fbl,7.974503376076185e-27,-1
Ankrd1,Icam1,9.771998570580184e-27,1
Mxd4,Cbr2,9.991925599739832e-27,-1
Irf9,Trim30d,1.0121172359246392e-26,-1
Irf9,Dock8,1.1463847151137939e-26,-1
Smarce1,Cnpy4,1.3468312580097555e-26,-1
Ndn,Meg3,1.579307993776717e-26,1
Zfp110,Srp9,1.6107016526404213e-26,-1
Rbbp5,Cct5,1.861790726632057e-26,-1
Foxm1,Lig1,2.092197656128799e-26,-1
Ptges2,Ndufb7,2.261064984140106e-26,-1
E2f4,Uqcrc1,2.283298346155822e-26,1
Foxp4,Rbm15b,2.7020940391120006e-26,-1
Foxm1,Nek2,2.8754327156642637e-26,-1
Foxm1,Rfc5,3.441096523756348e-26,-1
Hnrnpab,Pola2,3.5354305163786903e-26,-1
Top2a,Snrpd1,3.6524854214754174e-26,-1
Elf1,Ptprc,3.80535195601623e-26,-1
Nfya,Dbnl,3.873759952320528e-26,-1
Sp100,Cd83,5.520060504539611e-26,-1
Batf,Tmem173,6.301187489823826e-26,-1
Nfib,Cald1,6.402177559492554e-26,-1
Mxd4,Myct1,6.452982563448663e-26,-1
Taf13,Ppp1r11,1.120345463130167e-25,-1
Ppp1r8,Ppia,1.709485296438969e-25,-1
Smyd1,Apobec2,1.9298035344167202e-25,-1
Pcna,Cks2,2.2622675042004245e-25,-1
Hnrnpab,Wdr43,2.3097723783200447e-25,1
Hmgb1,Rpl6,3.0667215325676697e-25,1
Yy1,Dhx15,3.2013903112353043e-25,-1
Irf9,H2-T24,3.3463528423492835e-25,-1
Irf1,Ifi35,3.389154306439231e-25,-1
Klf2,Cdh5,3.6674754720118196e-25,-1
Prdm4,Rnps1,4.040950225469661e-25,1
Esrrg,D10Jhu81e,4.163676709174664e-25,-1
Elf4,Adora2a,4.37988742069919e-25,-1
Tgif1,Plekhf2,4.760254610214606e-25,-1
Ppp1r8,Kif20b,6.152982698193836e-25,-1
Tead2,Naalad2,7.099388651883038e-25,-1
Foxm1,Ezh2,8.591270516964883e-25,-1
Ppp1r8,Man1a,1.0700701229251153e-24,-1
Foxm1,Ccna2,1.3941855383476075e-24,-1
Taf6l,Jmjd6,1.4383569481682857e-24,1
Naca,Rpl35,1.5281711258791427e-24,-1
Nr3c1,Pebp1,1.6507380783190432e-24,1
Dnmt1,Cdca2,1.6998263684497095e-24,-1
Ppp1r8,Sf3a3,1.8442277863079208e-24,-1
Gtf2f1,Ercc3,2.1683015836919303e-24,-1
Ercc3,Gtf2f1,2.1683015836940344e-24,-1
Phf5a,Polr2d,3.24013695286922e-24,-1
Foxm1,Dsn1,3.3001634277045602e-24,-1
Irf9,AB124611,3.950668838356695e-24,-1
Tmpo,Pink1,4.121791917523049e-24,1
Taf13,Asna1,4.531319106204354e-24,1
Foxm1,Mki67,4.614827472585499e-24,-1
Cdk9,Rgs19,5.273196368958654e-24,-1
Meox2,Hspb2,5.591028827316213e-24,1
Uhrf1,Klf15,6.186860539116994e-24,-1
Taf1d,Bzw2,1.0686702428591903e-23,-1
Prdm4,Rbmx2,1.1592977629452857e-23,1
Sox18,8430408G22Rik,1.2526946901999142e-23,-1
Egr3,Nr4a1,1.3194809171776043e-23,-1
Nr4a1,Egr3,1.3194809171776428e-23,-1
Bcl3,Il13ra1,1.4764989596850024e-23,-1
Zbtb20,S1pr1,1.570744417531952e-23,-1
Apex1,Aaas,1.7702163485395014e-23,-1
Ddx1,Cfdp1,1.8638984983045947e-23,-1
Ldb1,Phf12,2.014388575417407e-23,-1
Aebp2,Taf1d,2.0231987914093066e-23,-1
Klf13,Cacfd1,2.0763415077698932e-23,-1
C1d,Anks1,2.5288747061986028e-23,-1
Dnmt1,Pbk,2.8705870361164915e-23,-1
Ercc3,Zfp954,3.0511436127304484e-23,-1
Foxm1,Mad2l1,3.1451750712050606e-23,-1
Irf1,Dtx3l,3.1753412113258756e-23,-1
Mybbp1a,Eif4b,3.4020433651847984e-23,-1
Apex1,Impdh2,4.0917479237007955e-23,-1
Uhrf1,Rbl1,4.168957747774055e-23,-1
Zfp354c,Anapc1,4.906567603571379e-23,-1
Meox2,Ldb3,5.859622884014737e-23,1
Rbbp5,Nup155,6.48991429721478e-23,-1
Ppp1r8,Fbxo5,6.818119704086246e-23,-1
Atxn1l,Prkag2,8.79231983553753e-23,-1
Gtf2f2,Dtx3,9.215640589461946e-23,-1
Uhrf1,Cks2,1.0149954154583821e-22,-1
