source,target,p-value,model
Abt1,Grwd1,3.271133018607612e-07,-1
Gtf2f2,Ltv1,3.5023631056843365e-07,-1
Sarnp,Etaa1,3.5080167204258423e-07,-1
Smarce1,Hnrnpa1,3.541931454748549e-07,-1
Mybbp1a,Wbscr22,3.6108467188035856e-07,-1
Phf5a,Taf1d,3.657492533321866e-07,-1
Hnrnpab,Hnrnpu,3.751880812194728e-07,-1
Gabpa,Tatdn1,3.7941666950063007e-07,1
Pcna,Cdk4,3.8664074996924804e-07,-1
Pa2g4,Eef1e1,4.4137247502093253e-07,-1
Nfyb,Mtx2,4.4696166601731154e-07,1
Phf5a,Utp15,4.532608349607359e-07,-1
Gtf2f1,Ddx49,5.120418507715288e-07,-1
Hnrnpab,Dis3,5.166954260553016e-07,-1
Tcf7l1,Nedd4,5.323148890327571e-07,1
Irf5,Tnfrsf1b,5.428943235082696e-07,-1
Nfx1,Dhx16,5.588712779196311e-07,-1
Tfdp1,Clns1a,5.73412687397534e-07,-1
Creb3l3,Soat2,5.798459678431059e-07,-1
Thoc1,Ddx39,6.086110113817242e-07,1
Gtf2f2,Wdr46,6.107073253737446e-07,-1
Hmgb2,Rrm2,6.270684251525337e-07,-1
Tmpo,Magoh,6.505831317303087e-07,-1
Gon4l,Oxsm,6.696647285719159e-07,-1
Tmpo,Orc6,7.03038620513643e-07,-1
Tcea1,Ltv1,7.088505333045059e-07,-1
Trim28,Cdca4,7.482820944470433e-07,-1
Trim28,Rfc5,7.797017851390561e-07,-1
Tshz2,D17Wsu104e,7.909270305926906e-07,1
Trim28,Prim2,7.958680219244614e-07,-1
Zfp422,Srsf4,8.05575019205701e-07,-1
Tfdp1,Zmynd19,8.188780907005793e-07,-1
Tmpo,Ssrp1,8.758004609427876e-07,-1
Tcea3,Clybl,9.411373277910366e-07,-1
Pa2g4,Cct3,9.640171682700487e-07,-1
Rbmxl1,Taf1d,9.726968853506408e-07,-1
Taf1d,Rbmxl1,9.72696885350671e-07,-1
Hnrnpab,Ddx21,9.982707589931271e-07,-1
Npm1,Rfc5,1.0258959905784679e-06,-1
Gmeb2,Csrp3,1.051512229914623e-06,-1
Arid5b,Csrp3,1.051512229914623e-06,-1
Ssrp1,H2afx,1.0609665705581335e-06,-1
Gtf3a,Kars,1.0636361787092171e-06,1
Tmpo,Fbl,1.102827211952231e-06,-1
Hnrnpk,Fahd1,1.197531470976407e-06,-1
Pcna,Tipin,1.2104234921774633e-06,-1
Gtf3a,Qtrt1,1.2121368876654247e-06,-1
Hnrnpab,Gtpbp4,1.233073652279298e-06,-1
Mlxipl,Timp2,1.2482967239919713e-06,-1
Srrt,Hnrnpa1,1.2723459560647524e-06,1
Taf1d,Nufip1,1.284598229486565e-06,-1
Srrt,Mcm2,1.303289496072293e-06,1
Tfdp1,Tcp1,1.4230339532972188e-06,-1
Npm1,Mcm2,1.4572913482177103e-06,-1
Tcf20,Ilf3,1.4733146271512874e-06,1
Ssrp1,Cdt1,1.4810313885718089e-06,-1
Ruvbl2,Cdk1,1.5135714965674148e-06,-1
Zfp39,Wdr34,1.5319546349481124e-06,-1
Npm1,Mcm3,1.5320423672254833e-06,-1
Ruvbl2,Mcm2,1.5893486438209705e-06,-1
Pcna,Rrm2,1.6073127007928116e-06,-1
Hnrnpab,Ranbp1,1.6243788348022248e-06,-1
Pa2g4,Wdr74,1.7410135117258781e-06,-1
Gtf3a,Lsm4,1.751266215865425e-06,1
Nfyb,Ctcf,1.8474688524078442e-06,1
Ilf2,Tsen34,1.8475324346837316e-06,-1
Nr1d1,Mapre3,1.86405455456479e-06,-1
Irf2,Lrp10,1.8866573401683704e-06,-1
Mta2,H47,2.016953058026575e-06,1
Taf1d,Ddx18,2.084199185816603e-06,-1
Gabpa,Dnajc19,2.10741949822028e-06,1
Sarnp,Nhp2l1,2.143802828789618e-06,-1
Phf5a,Mcm6,2.1747664632018796e-06,-1
Ruvbl2,Cdc20,2.4195570765854635e-06,-1
Ldb1,Tbc1d17,2.511661600444515e-06,-1
Srrt,Prim2,2.56962161883881e-06,1
Set,Alyref,2.5834047754547675e-06,-1
Tmpo,Snrpg,2.6278000267109816e-06,-1
Mterfd1,Klhl26,2.6465448684632556e-06,-1
Hnrnpab,Set,2.6620670590206997e-06,-1
Set,Hnrnpab,2.662067059020887e-06,-1
Abt1,Wdr36,2.671675930445803e-06,-1
Irf5,Arhgdib,2.8777755806769535e-06,-1
Irf5,Fcgr2b,2.9031539303136846e-06,-1
Irf6,Rnf39,3.0419377374910432e-06,-1
Gabpa,Psmc6,3.199330244485009e-06,1
Hnrnpab,Cct5,3.2482149835081566e-06,-1
Ppp1r8,Tbpl1,3.409259663782067e-06,-1
Nr1d2,Hltf,3.485276882109098e-06,-1
Srrt,Fen1,3.557873525257831e-06,1
Tfdp1,Eef1e1,3.5972842708875967e-06,-1
Rnf4,Pigm,3.5983478069830786e-06,-1
Sarnp,Ddx21,3.6993559536444768e-06,-1
Dmap1,Med9,3.740851132439911e-06,-1
C1d,Inpp5k,3.808822076163896e-06,-1
Smarcc1,Luc7l,3.876049614823186e-06,-1
Gabpb2,Arhgap17,3.897181487733091e-06,1
Csda,Rpl13,3.930327972611144e-06,-1
Ppp1r8,Nupl1,4.065534424798379e-06,-1
Gm98,St6galnac6,4.115416850486224e-06,-1
Tfdp1,Snrpf,4.190329168533282e-06,-1
Taf1d,Nvl,4.396325508975784e-06,-1
Bptf,Gnaq,4.547223425917923e-06,-1
Hnrnpk,Wsb1,4.7489160382624814e-06,-1
Zfp691,Fibp,4.759989232785342e-06,-1
Irf5,C4b,4.782545369071585e-06,-1
Ruvbl2,Rrm1,4.826930324616506e-06,-1
Sarnp,Hnrnpa1,4.999694174364112e-06,-1
Gtf3a,Snrpd2,5.15485682242436e-06,1
Hnrnpab,Polr1b,5.239150303698571e-06,-1
Ptges2,Rbks,5.258040472412666e-06,-1
Set,Lmnb1,5.3568671903168014e-06,-1
Foxa3,Ugt2b34,5.433883403292115e-06,-1
Ppp1r8,Rrm2,5.500304350502138e-06,-1
Ruvbl2,Fen1,5.51445654601219e-06,-1
Sarnp,Taf1d,5.6377024946998425e-06,-1
Nr3c2,Plekha6,5.679216082923627e-06,-1
Dedd,Gsr,5.719137546368576e-06,-1
Irf2,Rin3,5.838495289802988e-06,-1
Drap1,Rabac1,5.983038493400013e-06,-1
Pa2g4,Ppan,6.0682588082473875e-06,-1
Atf4,Mob3b,6.109751377830541e-06,-1
Sarnp,Tcerg1,6.199208585591557e-06,-1
Irf5,Dock8,6.264550152925166e-06,-1
Npm1,Ranbp1,6.541386782634006e-06,-1
Rbmxl1,Rrp15,6.629610896644598e-06,-1
Mll3,Srrm2,6.772346158003088e-06,-1
Rps3,Ing1,6.791529608231373e-06,-1
Ctcf,Hnrnpa1,7.0721167428555985e-06,1
Mlx,Gnptg,7.431478240618138e-06,-1
Tmpo,2700029M09Rik,7.618118435373802e-06,-1
Gmeb2,Itih4,7.766648979640845e-06,-1
Arid5b,Itih4,7.766648979640845e-06,-1
Rbmxl1,Prim1,8.048796168079694e-06,-1
Phf5a,Rpa2,8.099637050267966e-06,-1
Apex1,Aaas,8.14218926742705e-06,-1
Smarce1,Nmral1,8.260013293548371e-06,-1
Tmpo,Nup37,8.334776839449342e-06,-1
Hnrnpab,Psma5,8.34786508054471e-06,-1
Gtf2f2,Isg20l2,8.43470182157294e-06,-1
Pa2g4,Zmynd19,8.43737247959556e-06,-1
Nfx1,Myg1,8.490069581533506e-06,-1
Srrt,Prim1,8.497089025160318e-06,1
Zfp148,Rif1,8.541118434001638e-06,-1
Tmpo,Haus1,8.664152973078724e-06,-1
Pparg,Cd36,8.761423374197784e-06,-1
Gabpb1,D10Wsu102e,8.787347526331535e-06,-1
Atf4,Mrfap1,8.827155115528736e-06,1
Phf5a,Mcm4,8.850701718041633e-06,-1
Trim28,Tdg,9.28695927852011e-06,-1
Set,Nucks1,9.465992497096439e-06,-1
Taf1d,Rnps1,9.658394067144138e-06,-1
Klf15,Stbd1,9.759693854200999e-06,-1
Mlxipl,Gyg,9.857083866511352e-06,1
Nolc1,Erh,1.0026609543694963e-05,-1
Cc2d1b,Gpank1,1.0401502425961564e-05,1
Creb3l3,Apoc2,1.0419459204552379e-05,-1
