0,1,2
863,Arfip1,Arfip1
864,Arg1,Arg1
865,Arglu1,Arglu1
866,Arhgap1,Arhgap1
867,Arhgap12,Arhgap12
868,Arhgap17,Arhgap17
869,Arhgap29,Arhgap29
870,Arhgap42,Arhgap42
871,Arhgap5,Arhgap5
872,Arhgdia,Arhgdia
873,Arhgdib,Arhgdib
874,Arhgef1,Arhgef1
875,Arhgef10l,Arhgef10l
876,Arhgef11,Arhgef11
877,Arhgef12,Arhgef12
878,Arhgef18,Arhgef18
879,Arhgef26,Arhgef26
880,Arhgef3,Arhgef3
881,Arhgef5,Arhgef5
882,Arid4a,Arid4a
883,Arl3,Arl3
884,Arl4d,Arl4d
885,Arl6ip6,Arl6ip6
886,Armc1,Armc1
887,Armc8,Armc8
888,Arpc1a,Arpc1a
889,Arpc1b,Arpc1b
890,Arpc2,Arpc2
891,Arpc4,Arpc4
892,Arpc5l,Arpc5l
893,Arpp19,Arpp19
894,Arrb2,Arrb2
895,Arsg,Arsg
896,Asah2,Asah2
897,Asb13,Asb13
898,Asb8,Asb8
899,Ascc3,Ascc3
900,Asf1a,Asf1a
901,Asgr1,Asgr1
902,Asgr2,Asgr2
903,Asl,Asl
904,Asna1,Asna1
905,Asnsd1,Asnsd1
906,Aspdh,Aspdh
907,Aspg,Aspg
908,Aspscr1,Aspscr1
909,Ass1,Ass1
910,Asxl1,Asxl1
911,Atad1,Atad1
912,Atad3a,Atad3a
913,Ate1,Ate1
914,Atg12,Atg12
915,Atg14,Atg14
916,Atg16l1,Atg16l1
917,Atg16l2,Atg16l2
918,Atg2a,Atg2a
919,Atg3,Atg3
920,Atg4c,Atg4c
921,Atg4d,Atg4d
922,Atg5,Atg5
923,Atg9a,Atg9a
924,Atic,Atic
925,Atl2,Atl2
926,Atl3,Atl3
927,Atox1,Atox1
928,Atp11b,Atp11b
929,Atp11c,Atp11c
930,Atp1b3,Atp1b3
931,Atp2b1,Atp2b1
932,Atp2c1,Atp2c1
933,Atp5b,Atp5b
934,Atp5d,Atp5d
935,Atp5f1,Atp5f1
936,Atp5g1,Atp5g1
937,Atp5l,Atp5l
938,Atp5sl,Atp5sl
939,Atp6ap1,Atp6ap1
940,Atp6ap2,Atp6ap2
941,Atp6v0a1,Atp6v0a1
942,Atp6v0a2,Atp6v0a2
943,Atp6v0b,Atp6v0b
944,Atp6v1c1,Atp6v1c1
945,Atp6v1d,Atp6v1d
946,Atp6v1e1,Atp6v1e1
947,Atp6v1h,Atp6v1h
