0,1,2,3,4,5,6,7,8,9
1.0337788,1.1389011,1.3280897,1.510386,1.5171311,1.2358352,1.592852,1.5778154,1.427814,1.3958516
3.1871414,3.2925856,2.7043996,3.0995166,3.234984,3.0474901,3.287664,2.9422305,3.2938342,3.5602567
2.5801914,2.1691427,2.149705,2.4517992,2.2924225,2.39923,2.3022497,2.3274395,2.4163043,2.4505572
2.1105378,2.4351726,3.1336248,2.6241143,2.3921888,1.9853351,2.865422,2.3101275,2.0712326,2.2028048
2.634117,2.4926722,1.2578827,1.7889842,3.3529093,2.1045609,2.6431072,2.5856683,2.3881893,2.4362652
1.8931526,2.4288821,0.8509437,2.2486653,1.9228932,1.87272,1.4666775,1.5916439,2.1586816,2.1522768
3.2532444,3.1155415,3.1869488,3.6073909,3.351045,3.6985703,3.6779926,3.713167,3.0503378,2.8288932
5.1138644,5.210537,5.325398,5.614466,5.4334426,5.4961977,5.589664,5.5962286,5.2798147,5.2453384
1.2983781,3.103552,3.5371997,2.382149,2.0491474,2.0761995,1.594133,1.5984775,1.4125412,1.6496298
2.4964724,2.4468608,2.478633,2.7930715,2.7080114,3.1172101,3.2843955,2.951206,2.7354598,2.647865
4.9012218,4.94946,4.9788494,5.200974,5.2116055,5.259412,5.474001,5.499157,5.291497,5.1815434
1.1293501,1.1787368,1.2896018,1.2581104,1.3943174,1.4502707,1.5276173,1.5242188,1.3790057,1.441929
3.0292149,3.1816902,3.405681,3.4151876,3.3836417,3.4466808,3.6965432,3.2939024,3.004898,3.0843308
4.4925175,4.5540032,4.8028193,5.4979606,5.1264744,5.328333,5.4639206,5.403588,4.9332314,4.7117257
1.3323203,1.5052862,1.6915491,1.8994309,1.6567496,2.13115,1.9268578,1.6429111,1.4615812,1.4754869
3.0423381,3.0101383,3.0744317,3.444053,3.295593,3.2996047,3.378426,3.2308211,3.0291944,3.1182725
2.0166137,1.6763387,1.382778,1.917115,2.480396,2.106619,2.2497828,2.6287706,2.6322365,2.5130632
1.9189752,1.5648862,1.2146239,1.603867,1.5791887,2.088216,1.7779138,1.7620631,1.8707124,1.8444554
1.8859624,1.7813371,1.7727667,1.8865061,1.928376,1.9223881,2.1438265,2.0465577,1.8915478,1.8968942
2.765113,2.2181895,1.6230828,2.4411294,2.2804806,2.4153705,2.762859,2.4371488,2.5211067,2.512728
1.7283746,2.0433738,2.065925,2.313511,2.1792054,2.236334,2.089368,2.0479004,1.9417061,2.0037622
2.1301134,1.7532623,1.7442353,2.136241,1.8290735,2.0607195,2.3765829,2.0947978,1.9579247,1.9716877
1.8558964,1.6685277,2.4806223,2.2444484,2.0004132,1.9901265,2.0740473,2.326284,2.1156888,2.0532615
3.1652074,3.2166765,3.168967,3.3856382,3.2777283,3.541066,3.4294574,3.1653137,3.133472,3.039165
1.827882,1.7079748,2.0859678,2.4530385,2.021149,2.2807572,2.2056413,2.1273544,1.7842997,1.8271725
1.2060922,1.0474817,1.1479988,1.7441988,1.6767365,3.207663,2.4188225,2.1509094,1.5974663,1.4382266
2.5036929,2.5701852,2.668764,2.8437452,2.7043207,2.6855047,2.908893,2.8092544,2.7326546,2.5308867
4.290462,3.9042187,3.6279373,3.6997216,3.964348,4.018751,4.0406895,3.8894532,3.7330706,3.9611607
0.90257156,1.143965,1.0694156,1.7805879,1.5914104,2.0006778,1.4878819,1.456498,1.3731463,1.2183722
