GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
Psma3,-0.040673673,-0.019551545,-0.040673673,-0.01955152,-0.040673673,-0.019551545,-0.04067366,-0.01955159,-0.040673673,-0.019551534,-0.040673673,-0.01955156,-0.04067366,-0.019551568
Psma4,-0.034597084,0.0747751,-0.034597084,0.07477512,-0.0345971,0.074775085,-0.039693683,-0.08623303,-0.0345971,0.0747751,-0.0345971,0.074775085,-0.0345971,0.07477516
Psma5,0.28329,0.21246073,0.20882374,-0.29218122,0.2472476,-0.24270871,0.21475902,-0.27873567,0.25985906,-0.18677463,0.23575947,-0.31582153,0.23939452,-0.3219824
Psma7,-0.018826395,0.040990803,-0.04236068,-0.11065512,-0.042680457,-0.11269032,-0.045562208,-0.13659507,-0.035342038,-0.0715514,-0.039774656,-0.09419711,-0.048508376,-0.15649247
Psma8,0.08945951,0.064182,0.0802654,0.017216582,0.086761564,0.025580676,0.073209524,0.025186513,0.08422652,0.05852299,0.07465604,0.014275619,0.060175955,-0.0027686383
Psmb10,0.27588198,-0.038432445,0.2567924,0.036736403,0.27617803,0.17476417,0.24977973,-0.025840884,0.26586315,-0.03995664,0.24977973,-0.025840897,0.27493003,0.037417937
Psmb2,-0.044346422,0.06011268,-0.06042254,-0.07942725,-0.05400443,-0.038580913,-0.058826387,-0.07858004,-0.058826387,-0.07858003,-0.060422555,-0.07942726,-0.06187831,-0.077321835
Psmb4,-0.14403747,-0.5219892,-0.14546406,-0.57749224,-0.14546405,-0.57749224,-0.144748,-0.5765005,-0.144748,-0.5765006,-0.14546406,-0.57749224,-0.1482081,-0.6065329
Psmb8,0.49021426,0.073802665,0.48990837,0.09408406,0.5122001,0.24730384,0.49517283,0.13871099,0.50763094,0.12777705,0.49517283,0.13871108,0.5146543,0.18771105
Psmb9,0.4557416,0.03614447,0.45621338,0.08099239,0.47850516,0.23421216,0.46147785,0.1256193,0.473936,0.114685364,0.46147785,0.12561938,0.48095927,0.17461936
