GeneSymbol,PValue
Cldn4,1.0
Zbtb7a,1.0
Hmg20a,1.0
Col17a1,1.0
Gtpbp1,1.0
Apex1,1.0
Zfp618,1.0
Bag6,1.0
Gfi1,1.0
Rnf141,1.0
Smad1,1.0
Cic,1.0
Tox3,1.0
Gmds,1.0
Cald1,1.0
Copz2,1.0
Mll3,1.0
Arhgef16,1.0
Stra13,1.0
Zc3hc1,1.0
Pias1,1.0
Bhlha15,1.0
Sez6,1.0
Zfp28,1.0
Kctd12b,1.0
Lap3,1.0
Sulf1,1.0
Tfap2a,1.0
Zfp260,1.0
Ybx2,1.0
Fbxo25,1.0
Fh1,1.0
Cdk12,1.0
St3gal3,1.0
Trpm2,1.0
Hey1,1.0
Amph,1.0
3010001F23Rik,1.0
Tfcp2l1,1.0
Arhgef5,1.0
Wdr96,1.0
Pten,1.0
Tm6sf1,1.0
Gata4,1.0
Endog,1.0
Morn3,1.0
Atp6v1c1,1.0
Itsn2,1.0
Tceal1,1.0
Hoxb9,1.0
Atp5g1,1.0
Wdr37,1.0
Baiap2l1,1.0
Ptger4,1.0
Gtf2e1,1.0
Ppcs,1.0
Nr1d2,1.0
Gm266,1.0
Lass4,1.0
Camta1,1.0
H1fx,1.0
Sec11a,1.0
Dffb,1.0
Taf12,1.0
Eno4,1.0
Irx5,1.0
Pcx,1.0
Metrnl,1.0
Hlf,1.0
Zfp827,1.0
Gata2,1.0
Galnt7,1.0
Csf1,1.0
Prdm1,1.0
Pparg,1.0
Crebbp,1.0
Sra1,1.0
Trmt10a,1.0
Mrpl37,1.0
Pls3,1.0
Irf6,1.0
Tns1,1.0
Rnf128,1.0
Gabpa,1.0
Clcn2,1.0
Tbl1xr1,1.0
Mafb,1.0
Glt8d1,1.0
Frk,1.0
0910001L09Rik,1.0
Tbx4,1.0
2610528J11Rik,1.0
Tcte2,1.0
Otud4,1.0
