TF,Gene,Confidence
Batf,Fam129B,High
Batf,Fam25Bp,High
Batf,Fam83G,High
Batf,Gpr3,High
Batf,Hk1,High
Batf,Hmcn2,High
Batf,Homer3,High
Batf,Il11,High
Batf,Il15Ra,High
Batf,Il31,High
Batf,Irak1,High
Batf,Itgax,High
Batf,Kcnn4,High
Batf,Klhl21,High
Batf,Ksr1,High
Batf,Linc00601,High
Batf,Linc01269,High
Batf,Linc01615,High
Batf,Linc01629,High
Batf,Lucat1,High
Batf,Mafg,High
Batf,Map1S,High
Batf,Map7D1,High
Batf,Mdfi,High
Batf,Mir155Hg,High
Batf,Mmp1,High
Batf,Mmp7,High
Batf,Mmp9,High
Batf,Mt2A,High
Batf,Nfe2,High
Batf,Nos3,High
Batf,Olfm4,High
Batf,Pandar,High
Batf,Pfkfb4,High
Batf,Pi15,High
Batf,Plp2,High
Batf,Ppp1R18,High
Batf,Prr7,High
Batf,Ptafr,High
Batf,Rab39B,High
Batf,Rdh10-As1,High
Batf,Rin1,High
Batf,S100A3,High
Batf,Shc1,High
Batf,Slc38A1,High
Batf,Slc43A2,High
Batf,Slc7A11,High
Batf,Spint1,High
Batf,Srpx2,High
Batf,Tagln2,High
Batf,Tbxas1,High
Batf,Tnfaip6,High
Batf,Tnxa,High
Batf,Ubald2,High
Batf,Ubash3B,High
Batf,Upp1,High
Batf,Zc3H12D,High
Batf,Abr,High
Batf,Adgre2,High
Batf,Adgrg1,High
Batf,Ak1,High
Batf,Ankrd63,High
Batf,Ano1-As2,High
Batf,Anxa5,High
Batf,Apba2,High
Batf,Arntl2,High
Batf,Astn2-As1,High
Batf,Axl,High
Batf,Bbc3,High
Batf,Bbox1-As1,High
Batf,Bcl3,High
Batf,C11Orf86,High
Batf,C8Orf86,High
Batf,C9Orf135,High
Batf,C9Orf92,High
Batf,Ca12,High
