source,target,p-value,model
Nfyb,Tardbp,1.1753641805908416e-05,-1
Tmpo,Srsf10,1.1955110753463168e-05,-1
Tardbp,Syncrip,1.2410082511393466e-05,-1
Onecut1,Cyp2j5,1.265137313642783e-05,-1
Onecut1,Aldh8a1,1.2727090479157695e-05,-1
Tcf7l1,Celsr1,1.3252195920813931e-05,1
Ruvbl2,Vps37a,1.329614463382517e-05,-1
Ppp1r8,Pes1,1.4037109293631279e-05,-1
Mybbp1a,Snrpg,1.4040832394039014e-05,-1
Ppargc1a,Ndufa10,1.412695421471238e-05,-1
Zfp36,Pias2,1.4369708493290883e-05,-1
Pias2,Zfp36,1.4369708493290952e-05,-1
Kdm3a,Ccnl1,1.4809943620920654e-05,1
Tcf7l1,Fat1,1.5082247556859801e-05,1
Tcf7l1,Gsta4,1.5168145773995828e-05,1
Smad5,Nedd4,1.549702152255885e-05,1
Irf5,Sec14l4,1.570430246642527e-05,-1
Yap1,Vcl,1.5782950014911694e-05,-1
Hhex,Rhobtb1,1.5934644859376408e-05,1
Pias2,H2-K1,1.6473090183644115e-05,-1
Tcf3,Caml,1.6813349586594654e-05,-1
Olig1,Asgr1,1.711043757950255e-05,1
Tardbp,Srsf1,1.8522762010344093e-05,-1
Grlf1,Ptprg,1.902365308560347e-05,-1
Onecut2,Dhfr,1.907725019824987e-05,1
Tbx3,Fam53b,1.9302952843611758e-05,-1
Prox1,Fgb,1.938522300491101e-05,-1
Onecut1,Clec4g,1.98716829080097e-05,-1
Mterfd3,Lysmd4,1.9886969462001297e-05,-1
Olig1,Asgr2,2.0233835156821782e-05,1
Bclaf1,Cep57,2.055903032299459e-05,-1
Olig1,Ugt2b1,2.1475410501955982e-05,1
Tcf7l1,Nomo1,2.2122544347935447e-05,1
Onecut1,Vtn,2.285199065365332e-05,-1
Sod2,C2cd2,2.3013338596362006e-05,-1
Onecut1,Agxt,2.375286703615251e-05,-1
Onecut1,Arg1,2.3760437982133576e-05,-1
Olig1,Fgb,2.444770132200073e-05,1
Zfml,Cops2,2.567542288244139e-05,1
Tfdp1,Mad2l1,2.5763850191115575e-05,-1
Tcf7l1,Fn1,2.666348551898118e-05,1
Zfp518a,Rp2h,2.669777475985754e-05,-1
Kdm3a,Sirt1,2.698141273605189e-05,1
Rxrg,Slc6a13,2.921747284143699e-05,-1
Sod2,Slc6a13,2.921747284143699e-05,-1
Rxrg,Abca6,2.9659499335142504e-05,-1
Tcf7l1,Depdc7,3.036790268531025e-05,1
Pias4,Phldb2,3.066772062808607e-05,-1
Smad1,Chmp2b,3.087749977707978e-05,-1
Med6,Prmt6,3.0951147605556645e-05,-1
Rxrg,Pglyrp2,3.1064615019735897e-05,-1
Sod2,Pglyrp2,3.1064615019735897e-05,-1
Edf1,Ndufs5,3.1374038425692046e-05,-1
Hmgn5,Ssb,3.1967175838740365e-05,-1
Zkscan14,Lysmd4,3.207618018948163e-05,-1
Yap1,Ptprg,3.26066679053507e-05,-1
Nfe2l2,Trim25,3.362952435128465e-05,-1
Kdm3a,Cdk12,3.427465295707187e-05,1
Carhsp1,Parp3,3.463751394937402e-05,-1
Trim33,Wdr11,3.515049354154353e-05,-1
Onecut2,Abcc6,3.6012829108719296e-05,-1
Tcf7l1,Jub,3.605644518755874e-05,1
Onecut1,Kng1,3.673843465761956e-05,-1
Onecut2,Ambp,3.726540766146546e-05,-1
Smarca2,Dlc1,3.7610527467026316e-05,1
